HGNC approved symbol,HGNC approved name,Function,Modification,Target entity,Product,,,,,,,,,,,
PRKDC,protein kinase, DNA-activated, catalytic polypeptide,Histone modification write,Histone phosphorylation,H2AXS139, H2AFXS139,H2AXS139ph, H2AFXS139ph,,,,,,,
PRMT1,protein arginine methyltransferase 1,Histone modification write,Histone methylation,H4R3,H4R3me1, H4R3me2a,,,,,,,,,,
PRMT2,protein arginine methyltransferase 2,Histone modification write,Histone methylation,H4,H4me,,,,,,,,,,,
PRMT5,protein arginine methyltransferase 5,Histone modification write,Histone methylation,H3R8, H4R3,H3R8me, H4R3me,,,,,,,,,
PRMT6,protein arginine methyltransferase 6,Histone modification write,Histone methylation,H2AR3, H3R2, H4R4,H2AR3me, H4R3me, H3R2me2a,,,,,,,
PRMT7,protein arginine methyltransferase 7,Histone modification write,Histone methylation,H2A, H4R3,H2A, H4R3me2,,,,,,,,,
PRMT8,protein arginine methyltransferase 8,Histone modification write,Histone methylation,H4R,H4Rme,,,,,,,,,,,
PRMT9,protein arginine methyltransferase 9,Histone modification write,Histone methylation,H4R3,H4R3me2,,,,,,,,,,,
PRPF31,pre-mRNA processing factor 31,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,,,
PRR14,proline rich 14,Histone modification write,Histone phosphorylation,H3K9me2, H3K9me3,#,,,,,,,,,,
PSIP1,PC4 and SFRS1 interacting protein 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
RAD51,RAD51 recombinase,Histone modification erase,Histone ubiquitination,histone,#,,,,,,,,,,,
RAD54B,RAD54 homolog B (S. cerevisiae),Chromatin remodeling,#,#,#,,,,,,,,,,,
RAD54L,RAD54-like (S. cerevisiae),Chromatin remodeling,#,#,#,,,,,,,,,,,
RAD54L2,RAD54-like 2 (S. cerevisiae),Chromatin remodeling,#,#,#,,,,,,,,,,,
RAG1,recombination activating gene 1,Histone modification write,Histone ubiquitination,H3.3K, DNA motif,H3.3Kub,,,,,,,,,,
RAG2,recombination activating gene 2,Histone modification read,#,H3K4me3,#,,,,,,,,,,,
RAI1,retinoic acid induced 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
RARA,retinoic acid receptor, alpha,Histone modification write cofactor, TF,Histone methylation, TF activator, TF repressor,H3K4,H3K4me, H3K4me2,,,,,,
RB1,retinoblastoma 1,Chromatin remodeling, Histone modification write,Histone ubiquitination,#,#,,,,,,,,,,
RBBP4,retinoblastoma binding protein 4,Histone chaperone,#,H4,#,,,,,,,,,,,
RBBP5,retinoblastoma binding protein 5,Histone modification write cofactor,Histone methylation,H3K4,H3K4me1, H3K4me2, H3K4me3,,,,,,,,,
RBBP7,retinoblastoma binding protein 7,Histone chaperone,#,H4,#,,,,,,,,,,,
RBX1,ring-box 1, E3 ubiquitin protein ligase,Histone modification write cofactor,Histone ubiquitination,H3, H4,H3ub, H4ub,,,,,,,,
RCC1,regulator of chromosome condensation 1,Chromatin remodeling,#,H2A, H2B,#,,,,,,,,,,
RCOR1,REST corepressor 1,Histone modification erase cofactor, Histone modification erase cofactor,Histone acetylation, Histone methylation,#,#,,,,,,,,,
RCOR3,REST corepressor 3,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
REST,RE1-silencing transcription factor,Histone modification erase cofactor, TF,Histone acetylation, TF activator, TF repressor,DNA motif,#,,,,,,,,
RING1,ring finger protein 1,Histone modification write, Polycomb group (PcG) protein,Histone ubiquitination,H2AK119,H2AK119ub,,,,,,,,,,
RLIM,ring finger protein, LIM domain interacting,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
RMI1,RecQ mediated genome instability 1,DNA modification,#,#,#,,,,,,,,,,,
RNF168,ring finger protein 168, E3 ubiquitin protein ligase,Histone modification write,Histone ubiquitination,H2AK13, H2AK15, H2AXK13, H2AXK15,H2AK13ub, H2AK15ub, H2AXK13ub, H2AXK15ub,,,,
RNF2,ring finger protein 2,Histone modification write,Histone ubiquitination,H2AK119,H2AK119ub,,,,,,,,,,,
RNF20,ring finger protein 20, E3 ubiquitin protein ligase,Histone modification write,Histone ubiquitination,H2BK120,H2BK120ub1,,,,,,,,,,
RNF40,ring finger protein 40, E3 ubiquitin protein ligase,Histone modification write cofactor,Histone ubiquitination,H2BK121,H2BK120ub2,,,,,,,,,,
RNF8,ring finger protein 8, E3 ubiquitin protein ligase,Histone modification write,Histone ubiquitination,H2AK63, H2AXK63, H2AK48, H2AXK48,H2AK63ub, H2AXK63ub, H2AK48ub, H2AXK48ub,,,,
RPS6KA3,ribosomal protein S6 kinase, 90kDa, polypeptide 3,Histone modification write cofactor,Histone phosphorylation,H3S10,H3S10ph,,,,,,,,,
RPS6KA4,ribosomal protein S6 kinase, 90kDa, polypeptide 4,Histone modification write,Histone phosphorylation,H3S10, H3S28,H3S10ph, H3S28ph,,,,,,,
RPS6KA5,ribosomal protein S6 kinase, 90kDa, polypeptide 5,Histone modification write,Histone phosphorylation,H2AS1, H3S10, H3S28,H2AS1ph, H3S10ph, H3S28ph,,,,,
RRP8,ribosomal RNA processing 8, methyltransferase, homolog (yeast),Histone modification cofactor,#,H3ac,H3K9me2,,,,,,,,,
RSF1,remodeling and spacing factor 1,Histone modification read,#,#,#,,,,,,,,,,,
RUVBL1,RuvB-like AAA ATPase 1,Chromatin remodeling, Histone modification write,Histone phosphorylation,#,#,,,,,,,,,,
RUVBL2,RuvB-like AAA ATPase 2,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
RYBP,RING1 and YY1 binding protein,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
SAFB,scaffold attachment factor B,Chromatin remodeling,#,#,#,,,,,,,,,,,
SAP130,Sin3A-associated protein, 130kDa,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
SAP18,Sin3A-associated protein, 18kDa,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
SAP25,Sin3A-associated protein, 25kDa,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
SAP30,Sin3A-associated protein, 30kDa,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
SAP30L,SAP30-like,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
SATB1,SATB homeobox 1,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
SATB2,SATB homeobox 2,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
SCMH1,sex comb on midleg homolog 1 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
SCML2,sex comb on midleg-like 2 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
SCML4,sex comb on midleg-like 4 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
SENP1,SUMO1/sentrin specific peptidase 1,Histone modification erase cofactor,Histone sumoylation,H4,#,,,,,,,,,,,
SENP3,SUMO1/sentrin/SMT3 specific peptidase 3,Histone modification erase, Histone modification write cofactor,Histone sumoylation, Histone acetylation,H3,H3ac,,,,,,,,,
SET,SET nuclear proto-oncogene,Histone modification,#,#,#,,,,,,,,,,,
SETD1A,SET domain containing 1A,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
SETD1B,SET domain containing 1B,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
SETD2,SET domain containing 2,Histone modification write,Histone methylation,H3K36me2,H3K36me3,,,,,,,,,,,
SETD3,SET domain containing 3,Histone modification write,Histone methylation,H3K36,H3K36me,,,,,,,,,,,
SETD5,SET domain containing 5,Histone modification write,Histone methylation,#,#,,,,,,,,,,,
SETD6,SET domain containing 6,Chromatin remodeling, Histone modification write,Histone methylation,#,#,,,,,,,,,,
SETD7,SET domain containing (lysine methyltransferase) 7,Histone modification write,Histone methylation,H3K4,H3K4me1,,,,,,,,,,,
SETD8,SET domain containing (lysine methyltransferase) 8,Histone modification write,Histone methylation,H4K20,H4K20me1,,,,,,,,,,,
SETDB1,SET domain, bifurcated 1,Histone modification write,Histone methylation,H3K9,H3K9me3,,,,,,,,,,
SETDB2,SET domain, bifurcated 2,Histone modification write,Histone methylation,H3K9,H3K9me3,,,,,,,,,,
SETMAR,SET domain and mariner transposase fusion gene,Histone modification write,Histone methylation,H3K4, H3K36,H3K4me, H3K36me,,,,,,,,,
SF3B1,splicing factor 3b, subunit 1, 155kDa,RNA modification,#,#,#,,,,,,,,,
SF3B3,splicing factor 3b, subunit 3, 130kDa,RNA modification,#,#,#,,,,,,,,,
SFMBT1,Scm-like with four mbt domains 1,Polycomb group (PcG) protein,#,H4K20,#,,,,,,,,,,,
SFMBT2,Scm-like with four mbt domains 2,Histone modification read, Polycomb group (PcG) protein, TF,TF repressor,H3K9me2, H3K9me3, H3K27me3, H4K20me2, H4K20me3,H3, H4,,,,
SFPQ,splicing factor proline/glutamine-rich,Chromatin remodeling cofactor, RNA modification, TF,TF repressor,#,#,,,,,,,,,
SHPRH,SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase,Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,,
SIN3A,SIN3 transcription regulator family member A,Histone modification erase cofactor, TF,Histone acetylation, TF activator, TF repressor,DNA motif,#,,,,,,,,
SIN3B,SIN3 transcription regulator family member B,Histone modification erase cofactor, TF,Histone acetylation, TF repressor,DNA motif,#,,,,,,,,,
SIRT1,sirtuin 1,Histone modification erase, Histone modification write cofactor,Histone acetylation, Histone methylation,H1K26ac, H3K9ac, H4K16ac,H1K26, H3K9, H4K16,,,,,
SIRT2,sirtuin 2,Histone modification erase, Histone modification write cofactor,Histone acetylation, Histone methylation,H3K18ac, H3K56ac, H4K16ac, H4K20me1,H3K18, H3K56, H4K16, H4K20me2, H4K20me3,,
SIRT6,sirtuin 6,Histone modification erase,Histone acetylation,H3K9ac, H3K56ac,H3K9, H3K56,,,,,,,,,
SIRT7,sirtuin 7,Histone modification erase,Histone acetylation,H3K18ac,H3K18,,,,,,,,,,,
SKP1,S-phase kinase-associated protein 1,Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
SMARCA1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1,Chromatin remodeling, Histone modification erase,Histone acetylation,#,#,,,,,,
SMARCA2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2,Histone modification read, TF,TF activator,H3, DNA motif,#,,,,,
SMARCA4,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4,Histone modification read, TF,TF activator,H3, H4,#,,,,,
SMARCA5,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5,Chromatin remodeling,#,#,#,,,,,,,
SMARCAD1,SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1,Chromatin remodeling,#,#,#,,,,,,,,
SMARCAL1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1,Chromatin remodeling,#,#,#,,,,,,,,
SMARCB1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1,Histone modification read,#,H3K56,#,,,,,,,
SMARCC1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1,Chromatin remodeling cofactor,#,#,#,,,,,,,
SMARCC2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2,Chromatin remodeling cofactor,#,#,#,,,,,,,
SMARCD1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1,Chromatin remodeling,#,#,#,,,,,,,
SMARCD2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2,Chromatin remodeling cofactor,#,#,#,,,,,,,
SMARCD3,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3,Chromatin remodeling cofactor,#,#,#,,,,,,,
SMARCE1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1,Chromatin remodeling cofactor,#,#,#,,,,,,,
SMEK1,SMEK homolog 1, suppressor of mek1 (Dictyostelium),Histone modification erase cofactor,Histone phosphorylation,H2AFX,#,,,,,,,,,,
SMEK2,SMEK homolog 2, suppressor of mek1 (Dictyostelium),Histone modification erase cofactor,Histone phosphorylation,H2AFX,#,,,,,,,,,,
SMYD1,SET and MYND domain containing 1,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
SMYD2,SET and MYND domain containing 2,Histone modification write,Histone methylation,H3K4, H3K36,H3K4me, H3K36me2,,,,,,,,,
SMYD3,SET and MYND domain containing 3,Histone modification write,Histone methylation,H3K4, H3K5,H3K4me2, H3K4me3, H3K5me2, H3K5me3,,,,,,,
SMYD4,SET and MYND domain containing 4,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
SNAI2,snail family zinc finger 2,Histone modification erase cofactor,#,#,#,,,,,,,,,,,
SP1,Sp1 transcription factor,Chromatin remodeling, TF,TF activator, TF repressor,DNA motif,#,,,,,,,,,
SP100,SP100 nuclear antigen,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
SP140,SP140 nuclear body protein,Histone modification read, TF,#,H3,#,,,,,,,,,,
SPEN,spen family transcriptional repressor,Histone modification erase cofactor, TF,Histone acetylation, TF activator, TF repressor,#,#,,,,,,,,
SPOP,speckle-type POZ protein,Histone modification write,Histone ubiquitination,MacroH2A1,MacroH2A1ub,,,,,,,,,,,
SRCAP,Snf2-related CREBBP activator protein,Chromatin remodeling, Histone modification erase,Histone acetylation,H2A.Z,#,,,,,,,,,,
SRSF1,serine/arginine-rich splicing factor 1,RNA modification,#,#,#,,,,,,,,,,,
SRSF3,serine/arginine-rich splicing factor 3,RNA modification,#,#,#,,,,,,,,,,,
SS18L1,synovial sarcoma translocation gene on chromosome 18-like 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
SS18L2,synovial sarcoma translocation gene on chromosome 18-like 2,Chromatin remodeling,#,#,#,,,,,,,,,,,
SSRP1,structure specific recognition protein 1,Chromatin remodeling,#,H3, H4,#,,,,,,,,,,
STK4,serine/threonine kinase 4,Histone modification write,Histone phosphorylation,H2AS14,H2BS14ph,,,,,,,,,,,
SUDS3,suppressor of defective silencing 3 homolog (S. cerevisiae),Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
SUPT16H,suppressor of Ty 16 homolog (S. cerevisiae),Histone modification read,#,H2A, H2B,#,,,,,,,,,,
SUPT3H,suppressor of Ty 3 homolog (S. cerevisiae),Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
SUPT6H,suppressor of Ty 6 homolog (S. cerevisiae),Histone modification erase cofactor,Histone methylation,#,#,,,,,,,,,,,
SUPT7L,suppressor of Ty 7 (S. cerevisiae)-like,Histone chaperone,#,#,#,,,,,,,,,,,
SUV39H1,suppressor of variegation 3-9 homolog 1 (Drosophila),Histone modification write, Histone modification write,Histone methylation, Histone phosphorylation,H3S10, H3K9me1, H4,H3K9me3,,,,,,,
SUV39H2,suppressor of variegation 3-9 homolog 2 (Drosophila),Histone modification write,Histone methylation,H3K9me1,H3K9me3,,,,,,,,,,,
SUV420H1,suppressor of variegation 4-20 homolog 1 (Drosophila),Histone modification write,Histone methylation,H4K20,H4K20me3,,,,,,,,,,,
SUV420H2,suppressor of variegation 4-20 homolog 2 (Drosophila),Histone modification write,Histone methylation,H4K20,H4K20me3,,,,,,,,,,,
SUZ12,SUZ12 polycomb repressive complex 2 subunit,Histone modification write cofactor, Histone modification write cofactor, Polycomb group (PcG) protein, TF,Histone methylation, Histone ubiquitination, TF repressor,DNA motif,#,,,,,,
SYNCRIP,synaptotagmin binding, cytoplasmic RNA interacting protein,RNA modification,mRNA editing,mRNA,#,,,,,,,,,,
TADA1,transcriptional adaptor 1,Histone chaperone,#,H2A,#,,,,,,,,,,,
TADA2A,transcriptional adaptor 2A,Histone modification read, TF,TF activator,H3,#,,,,,,,,,,
TADA2B,transcriptional adaptor 2B,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
TADA3,transcriptional adaptor 3,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
TAF1,TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa,Histone modification write,Histone acetylation,H3, H4,H3ac, H4ac,,,,,,,
TAF10,TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa,Histone chaperone, Histone modification write,Histone acetylation,H3, H4,#,,,,,,,
TAF12,TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa,Histone chaperone, Histone modification write,Histone acetylation,#,#,,,,,,,,
TAF1L,TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like,Histone modification read,#,H1.4ac, H2Aac, H2Bac, H3ac, H4ac,#,,,,,
TAF2,TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa,TF,#,DNA motif,#,,,,,,,,,
TAF3,TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa,Histone modification read,#,H3K4me,#,,,,,,,,,
TAF4,TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa,Histone chaperone,#,#,#,,,,,,,,,
TAF5,TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,
TAF5L,TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,
TAF6,TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa,Histone chaperone,#,#,#,,,,,,,,,
TAF6L,TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa,Histone chaperone,#,#,#,,,,,,,,,
TAF7,TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,
TAF8,TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa,Histone chaperone,#,#,#,,,,,,,,,
TAF9,TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa,Histone chaperone,#,#,#,,,,,,,,,
TAF9B,TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa,Histone chaperone,#,#,#,,,,,,,,,
TBL1XR1,transducin (beta)-like 1 X-linked receptor 1,#,#,#,#,,,,,,,,,,,
TDG,thymine-DNA glycosylase,DNA modification,DNA hydroxymethylation,G:U, G:T, G:hmU,C, 5mC, 5hmC,,,,,,,
TDRD3,tudor domain containing 3,Histone modification read,#,H3R17me2a, H4R3me2a,#,,,,,,,,,,
TDRD7,tudor domain containing 7,Histone modification read,#,H3K9,#,,,,,,,,,,,
TDRKH,tudor and KH domain containing,RNA modification,#,piRNA,#,,,,,,,,,,,
TET1,tet methylcytosine dioxygenase 1,DNA modification,DNA hydroxymethylation,mC,hmC,,,,,,,,,,,
TET2,tet methylcytosine dioxygenase 2,DNA modification,DNA hydroxymethylation,mC,hmC,,,,,,,,,,,
TET3,tet methylcytosine dioxygenase 3,DNA modification,DNA hydroxymethylation,mC,hmC,,,,,,,,,,,
TEX10,testis expressed 10,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,,,
TFDP1,transcription factor Dp-1,Histone modification,#,#,#,,,,,,,,,,,
TFPT,TCF3 (E2A) fusion partner (in childhood Leukemia),Chromatin remodeling cofactor, DNA modification,DNA hydroxymethylation,#,#,,,,,,,,,,
TLE1,transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila),Chromatin remodeling, Histone modification cofactor,#,H3,#,,,,,,,,,
TLE2,transducin-like enhancer of split 2,Histone modification cofactor,#,H3,H3K4, H3K9, H3K27me,,,,,,,,,
TLE4,transducin-like enhancer of split 4,Histone modification erase cofactor, TF,#,H3ac, H4ac,#,,,,,,,,,
TLK1,tousled-like kinase 1,Histone modification write,Histone phosphorylation,H3S10,H3S10ph,,,,,,,,,,,
TLK2,tousled-like kinase 2,Histone modification write,Histone phosphorylation,#,#,,,,,,,,,,,
TNP1,transition protein 1 (during histone to protamine replacement),Chromatin remodeling,#,#,#,,,,,,,,,,,
TNP2,transition protein 2 (during histone to protamine replacement),Chromatin remodeling,#,#,#,,,,,,,,,,,
TONSL,tonsoku-like, DNA repair protein,Chromatin remodeling,#,#,#,,,,,,,,,,
TOP2A,topoisomerase (DNA) II alpha 170kDa,Chromatin remodeling,#,DNA,#,,,,,,,,,,,
TOP2B,topoisomerase (DNA) II beta 180kDa,Chromatin remodeling,#,#,#,,,,,,,,,,,
TP53,tumor protein p53,Histone modification write cofactor, TF,Histone acetylation, TF activator, TF repressor,H3,#,,,,,,,,
TP53BP1,tumor protein p53 binding protein 1,Histone modification read,#,H4K79me2, H4K20me2,#,,,,,,,,,,
TRIM16,tripartite motif containing 16,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
TRIM24,tripartite motif containing 24,Histone modification read,#,H3K4, H3K23ac,#,,,,,,,,,,
TRIM27,tripartite motif containing 27,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
TRIM28,tripartite motif containing 28,Histone modification read,#,H3,#,,,,,,,,,,,
TRIM33,tripartite motif containing 33,Histone modification read,#,H3K9me3, H3K18ac,#,,,,,,,,,,
TRRAP,transformation/transcription domain-associated protein,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
TSSK6,testis-specific serine kinase 6,Histone modification write,Histone phosphorylation,H1, H2A, H2AX, H3,#,,,,,,,,
TTK,TTK protein kinase,Histone modification write cofactor,Histone phosphorylation,H2AT120,H2AT120ph,,,,,,,,,,,
TYW5,tRNA-yW synthesizing protein 5,RNA modification,#,#,#,,,,,,,,,,,
UBE2A,ubiquitin-conjugating enzyme E2A,Histone modification write,Histone ubiquitination,H2A, H2BK120,H2BK120ub1,,,,,,,,,,
UBE2B,ubiquitin-conjugating enzyme E2B,Histone modification write,Histone ubiquitination,H2A, H2BK121,H2BK120ub2,,,,,,,,,,
UBE2D1,ubiquitin-conjugating enzyme E2D 1,Histone modification write,Histone ubiquitination,H2BK48,H2BK48ub,,,,,,,,,,,
UBE2D3,ubiquitin-conjugating enzyme E2D 3,Histone modification write,Histone ubiquitination,H2AK119,H2AK119ub,,,,,,,,,,,
UBE2E1,ubiquitin-conjugating enzyme E2E 1,Histone modification write,Histone ubiquitination,H2BK120,H2BK120ub,,,,,,,,,,,
UBE2H,ubiquitin-conjugating enzyme E2H,Histone modification write,Histone ubiquitination,H2A, H2B,H2Aub, H2Bub,,,,,,,,,
UBE2N,ubiquitin-conjugating enzyme E2N,Histone modification write,Histone ubiquitination,H2AX,H2AXub,,,,,,,,,,,
UBE2T,ubiquitin-conjugating enzyme E2T (putative),Histone modification write,Histone ubiquitination,#,#,,,,,,,,,,,
UBN1,ubinuclein 1,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
UBR2,ubiquitin protein ligase E3 component n-recognin 2,Histone modification write,Histone ubiquitination,H2A,#,,,,,,,,,,,
UBR5,ubiquitin protein ligase E3 component n-recognin 5,Chromatin remodeling, Histone modification write cofactor,Histone ubiquitination,H2A, H2AX,H2Aub, H2AXub,,,,,,,,
UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative),DNA modification cofactor,DNA methylation,#,#,,,,,,,,,,,
UCHL5,ubiquitin carboxyl-terminal hydrolase L5,Histone modification erase cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
UHRF1,ubiquitin-like with PHD and ring finger domains 1,Histone modification read, Histone modification write cofactor,Histone ubiquitination,H3K9me3, H3R2, H3, mCG,H3ub,,,,,,,
UHRF2,ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase,Histone modification read,#,H3K9me3, mCG,#,,,,,,,,,
UIMC1,ubiquitin interaction motif containing 1,Histone modification read,#,H2AK63ub, H2AXK63ub, H2BK63ub,#,,,,,,,,,
USP11,ubiquitin specific peptidase 11,Histone modification erase cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
USP12,ubiquitin specific peptidase 12,Histone modification erase,Histone ubiquitination,H2Aub,H2A,,,,,,,,,,,
USP15,ubiquitin specific peptidase 15,Histone modification erase,Histone ubiquitination,H2BK120ub,H2BK120,,,,,,,,,,,
USP16,ubiquitin specific peptidase 16,Histone modification erase,Histone ubiquitination,H2Aub,H2A,,,,,,,,,,,
USP17L2,ubiquitin specific peptidase 17-like family member 2,Histone modification erase cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
USP21,ubiquitin specific peptidase 21,Histone modification erase,Histone ubiquitination,H2Aub,H2A,,,,,,,,,,,
USP22,ubiquitin specific peptidase 22,Histone modification write cofactor,Histone ubiquitination,H2Aub, H2Bub,H2A, H2B,,,,,,,,,
USP3,ubiquitin specific peptidase 3,Histone modification write,Histone ubiquitination,H2Aub, H2Bub,H2A, H2B,,,,,,,,,
USP36,ubiquitin specific peptidase 36,Histone modification write cofactor,Histone ubiquitination,H2Bub,H2B,,,,,,,,,,,
USP44,ubiquitin specific peptidase 44,Histone modification erase,Histone ubiquitination,H2Bub1,H2B,,,,,,,,,,,
USP46,ubiquitin specific peptidase 46,Histone modification erase,Histone ubiquitination,H2Aub,H2A,,,,,,,,,,,
USP49,ubiquitin specific peptidase 49,Histone modification erase,Histone ubiquitination,H2Bub,H2B,,,,,,,,,,,
USP7,ubiquitin specific peptidase 7 (herpes virus-associated),Histone modification erase, DNA modification cofactor,Histone ubiquitination, DNA methylation,H2Bub,H2B,,,,,,,,,
UTY,ubiquitously transcribed tetratricopeptide repeat containing, Y-linked,Histone modification erase,Histone ubiquitination,H3K27me,#,,,,,,,,,,
VDR,vitamin D (1,25- dihydroxyvitamin D3) receptor,Chromatin remodeling cofactor, TF,#,H2BK12ac, H3K14ac, H4K16ac,#,,,,,,,
VPS72,vacuolar protein sorting 72 homolog (S. cerevisiae),Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
VRK1,vaccinia related kinase 1,Histone modification write,Histone phosphorylation,H3S10, H3T3,H3S10ph, H3T3ph,,,,,,,,,
WAC,WW domain containing adaptor with coiled-coil,Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
WDR5,WD repeat domain 5,Histone modification read,#,H3K4, H3K4me1, H3K4me2, H3K4me3,#,,,,,,,,
WDR77,WD repeat domain 77,Histone modification write,Histone methylation,H2A, H4,H2Ame, H4me,,,,,,,,,
WDR82,WD repeat domain 82,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
WHSC1,Wolf-Hirschhorn syndrome candidate 1,Histone modification write,Histone methylation,H3K27,H3K27me,,,,,,,,,,,
WHSC1L1,Wolf-Hirschhorn syndrome candidate 1-like 1,Chromatin remodeling cofactor, TF,#,H3K4, H3K27,#,,,,,,,,,
WSB2,WD repeat and SOCS box containing 2,Histone modification write,Histone ubiquitination,#,#,,,,,,,,,,,
YAF2,YY1 associated factor 2,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
YEATS2,YEATS domain containing 2,Histone chaperone,#,#,#,,,,,,,,,,,
YEATS4,YEATS domain containing 4,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta,Histone modification read,#,H3,#,,,,,,,,,,
